Time,Altitude,Velocity,Drag Force,Resultant Force,Acceleration,Current Total Mass,Total Fuel Remaining,Core Fuel Remaining,SRB Fuel Remaining,Interim Fuel Remaining,Thrust,Down Force,Mach Speed,Air Density 
114.29999999999778,64536.41125165534,1460.3963609320483,-1898.9488671637175,29175703.75037419,24.530094309193807,1189384.0840000042,898304.0840000042,752042.0,117277.66100000433,28984.423,40841476.1266,-11663873.42735864,4.250563707000376,8.283e-05
114.39999999999777,64682.819362888746,1462.8528618667037,-1905.3442571719254,29187547.446064632,24.56500934655491,1188175.7110000043,897095.7110000043,751836.0,116275.28800000432,28984.423,40841476.1266,-11652023.33627819,4.25771533799431,8.283e-05
114.49999999999777,64829.47364900726,1465.312861412359,-1911.759524342711,29199391.121877916,24.599995456553845,1186967.3380000042,895887.3380000043,751630.0,115272.91500000432,28984.423,40841476.1266,-11640173.24519774,4.264877148299428,8.283e-05
114.59999999999776,64976.37446094134,1467.776366698001,-1918.1947332579025,29211234.777749445,24.635052856420394,1185758.9650000043,894678.9650000043,751424.0,114270.54200000431,28984.423,40841476.1266,-11628323.154117292,4.272049158636616,8.283e-05
114.69999999999776,65123.5221503376,1470.243384874428,-1924.6499487467759,29223078.413614407,24.670181764270563,1184550.5920000044,893470.5920000043,751218.0,113268.1690000043,28984.423,40841476.1266,-11616473.063036842,4.27923138979009,8.283e-05
114.79999999999775,65270.91706956103,1472.7139231143392,-1931.1252358872116,29234922.02940772,24.705382399111052,1183342.2190000042,892262.2190000042,751012.0,112265.7960000043,28984.423,40841476.1266,-11604622.97195639,4.286423862607662,8.283e-05
114.89999999999775,65418.55957169718,1475.1879886124236,-1937.6206600068574,29246765.625064053,24.74065498084381,1182133.846000004,891053.8460000042,750806.0,111263.42300000429,28984.423,40841476.1266,-11592772.88087594,4.293626598000989,8.283e-05
114.99999999999774,65566.45001055437,1477.6655885854507,-1944.1362866842962,29258609.200517826,24.775999730270634,1180925.4730000042,889845.4730000042,750600.0,110261.05000000428,28984.423,40841476.1266,-11580922.78979549,4.300839616945842,8.283e-05
115.09999999999773,65714.58874066595,1480.1467302723604,-1950.6721817502246,29270452.755703207,24.81141686909777,1179717.1000000043,888637.1000000043,750394.0,109258.67700000427,28984.423,40841476.1266,-11569072.69871504,4.308062940482364,8.283e-05
115.19999999999773,65862.97611729248,1482.6314209343545,-1957.2284112886327,29282296.29055412,24.846906619940558,1178508.7270000041,887428.7270000043,750188.0,108256.30400000427,28984.423,40841476.1266,-11557222.60763459,4.315296589715336,8.283e-05
115.29999999999772,66011.612496424,1485.1196678549873,-1963.805041637996,29294139.80500422,24.882469206328054,1177300.3540000042,886220.3540000042,749982.0,107253.93100000426,28984.423,40841476.1266,-11545372.516554141,4.322540585814445,8.283e-05
115.39999999999772,66160.4982347823,1487.6114783402581,-1970.402139392468,29305983.298986915,24.91810485270778,1176091.9810000043,885011.9810000042,749776.0,106251.55800000425,28984.423,40841476.1266,-11533522.425473692,4.3297949500145405,8.283e-05
115.49999999999771,66309.6336898231,1490.1068597187032,-1977.0197714030855,29317826.772435352,24.953813784450425,1174883.6080000042,883803.6080000042,749570.0,105249.18500000425,28984.423,40841476.1266,-11521672.33439324,4.337059703615913,8.283e-05
115.5999999999977,66459.01921973839,1492.6058193414885,-1983.6580047789776,29329670.225282427,24.98959622785457,1173675.235000004,882595.2350000042,749364.0,104246.81200000424,28984.423,40841476.1266,-11509822.24331279,4.344334867984557,8.283e-05
115.6999999999977,66608.65518345869,1495.1083645825038,-1990.3169068885804,29341513.657460768,25.025452410151498,1172466.8620000042,881386.8620000042,749158.0,103244.43900000423,28984.423,40841476.1266,-11497972.15223234,4.351620464552445,8.283e-05
115.7999999999977,66758.54194065533,1497.6145028384549,-1996.9965453608622,29353357.068902746,25.061382559510005,1171258.4890000043,880178.4890000041,748952.0,102242.06600000423,28984.423,40841476.1266,-11486122.06115189,4.358916514817795,8.283e-05
115.89999999999769,66908.67985174275,1500.124241528959,-2003.6969880865533,29365200.459540468,25.097386905041223,1170050.116000004,878970.1160000041,748746.0,101239.69300000422,28984.423,40841476.1266,-11474271.97007144,4.36622304034535,8.283e-05
115.99999999999768,67059.0692778808,1502.6375880966393,-2010.4183032193796,29377043.829305787,25.133465676803503,1168841.7430000042,877761.7430000042,748540.0,100237.32000000421,28984.423,40841476.1266,-11462421.878990991,4.373540062766644,8.283e-05
